URL de Lote;Código;Ano Modelo;Marca;Modelo;Documento;Chassi;Categoria;Condição;Cond. de Funcionamento;Tipo de Monta;Tipo de Chassi;Comitente;Valor FIPE;Pátio Veículo;Data do Leilão;Pátio do Leilão;Lote;Grade/Linha;Lance atual;Meu Lance
https://www.copart.com.br/lotDetail/520996;520996;2018;CHEVROLET;ONIX;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;A010-4;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/521299;521299;2010;CHEVROLET;CAPTIVA;Aguardando Classificação;;SUV Pequenos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;T 070;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/521436;521436;2018;FIAT;STRADA;Aguardando Classificação;;Picapes Pequenas;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EA4-7;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/521945;521945;2006;YAMAHA;YBR 125;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;M 100;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/522007;522007;2011;VOLKSWAGEN;FOX;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;A020-6;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/522025;522025;2015;CHEVROLET;CRUZE;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA1-02;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/522210;522210;2020;CHERY;TIGGO 2;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EB2-5;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/523046;523046;2014;CHEVROLET;CRUZE;Aguardando Classificação;;Automóveis;ENCHENTE;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA1-06;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/523319;523319;2007;PEUGEOT;307;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;AA 100;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/523702;523702;2014;FORD;ECOSPORT;Aguardando Classificação;;SUV Pequenos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;D22;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/523734;523734;2015;VOLKSWAGEN;GOL;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;A050-4;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/525853;525853;2008;FIAT;SIENA;Aguardando Classificação;;Automóveis;ROUBO/FURTO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;W 050;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/525932;525932;2014;FORD;FOCUS SEDAN;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;T 120;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/526140;526140;2014;HONDA;NXR 150;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;MC2;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/526148;526148;2011;VOLKSWAGEN;DELIVERY;Aguardando Classificação;;Caminhões e Rebocadores;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;CAMINHÃO C;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/526313;526313;2010;NISSAN;LIVINA;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA11-02;0 BRL;0 BRL
